agervall,"accident; mishap, unforeseen event that caused issues",noun,"OP “ager + vall” bad fall, calque from german unfall and dutch"
selvul,"selfish, self-seeking",adjective,OP “selv + -vul” self full
gatrmedom,"neighborhood, small residential area along with its inhabitants",noun,OP “gatremed + -om” group of neigbors
maeltian,"to multiply (math); to breed, procreate",verb,"OP “maelto + -ian”, to make many"
wiedon,"to bet, to gamble, to take a risky decision",verb,"G “wetten”, PWG “waddjōn”, PG “wadjōną”"
wiedonaft,"gambling, game of chance",noun,OP “wiedon (to gamble) + aft”
gaedißt,poem,noun,Afrikaans “gedig”; Dutch & G & Frisian “gedicht”; Danish “digt”; N & Swedish “dikt”
gaedißter,poet,noun,OP “gaediß + -er” one who does poetry
gaedißkrib,poetry,noun,OP “gaediß + -skrib” the writing of poems
graðit,"greed, avarice",noun,"OHG “grātag”; Danish “grådig”; Norwegian Bokmål “grådig”; ON “gráðigr, gráði”"
graðitan,"greedy, avaricious, consumed by selfish desire",adjective,OP “graðit (greed) + -an”
mieliþ,honey,noun,"Gothic “miliþ”; possibly from Latin “mel”, Old Irish “mil”, OE “mildeaw, milisc”, & OHG “milsken”"
vlaeseg,"liquid, fluid",noun,"Danish, N “væske”; Dutch “vloeistof”; G “Flüssig”; Icelandic “vökvi”; Luxembourgish “flësseg”"
sweja,"writing ink, black ink",noun,OP “swerth + woja” black water
blyntyft,pencil,noun,"Danish, N “blyant”; G “Bleistift”; Icelandic “Blýantur”; Luxembourgish “Bläistëft”"
ahgtun,"respect, veneration; consideration, appreciation, esteem",noun,MHG “ahtunge”; OHG “ahtunga”
nyrsouðe,"accurate, close to the truth",noun,OP “nyr + souðe” near truth
aelijz,"conflagration, firestorm; a large destructive fire",noun,OE “æled” 
og,island,noun,OE “ieg”; Danish “ø”; Norwegian “øy”; Swedish “ö”
minog,"isle, islet, small island",noun,OP “min- + og” small island
setog,archipelago,noun,OP “set + og”  group of islands
telekfougyl,parrot (bird),noun,OP “telek + fougyl” talking bird
mintelekfougyl,"parakeet, budgie, budgerigar",noun,OP “min- + telekfougyl” little parrot
wahksa,"wax, sealing wax",noun,OE “weax”; OS & OHG “wahs”; ON “vax”; Dutch “was”; G “Wachs”
oumßla,"envelope, letter envelope",noun,G “Umschlag”; Icelandic “umslagi”
wriegijan,"to accuse, to blame",verb,"ME “wrayen, wraien, wreien”; OE “wrēġan”; OS “wrōgian”; Dutch “wroegen”"
jymme,"gem, jewel",noun,"OE “ġimm”; ME “gemme, gimme, yimme, ȝimme”"
jymmestoun,gemstone,noun,OP “jymme + stoun” jewel stone
jymmkraft,jewellery,noun,OP “jymme + kraft” crafting of jewels
haerenles,deafness,noun,OP “haeren (to hear) + -les” 
ßaenkijan,"to pour (out), to serve drink to",verb,"ME “schenchen, schenken”; OE “sċenċan”; ON “skenkja”"
gemaen,"common, general, universal ",adjective,"ME “imene, ȝemǣne”; OE “ġemǣne”"
naeggemaen,lingua franca (common language),noun,OP “naeg (to speak) + gemaen (common)”
yþun,wave,noun,OE “yþ”
yþian,to wave (as in to greet),verb,OP “yþun (wave) + -ian”
rikijz,"rich, wealthy; abundant, plentiful",adjective,"OE “rīċe”; PWG “*rīkī”, PG “rīkijaz”"
froferu,comfort; to comfort (someone),"noun, verb",OE “frofor”; ME “frovre”
froferðe,comfortable,adjective,OP “froferu (comfort) + -ðe” 
nafroferu,discomfort,noun,OP “na- froferu (comfort)”
setteken,punctuation mark,noun,OP “set (sentence) + teken” sentence symbol
dutt,"dot, point, period",noun,"ME “dot, dotte”; OE “dott”; Dutch “dot”; LG “Dutte”; dialectal Swedish “dott”"
zundutt,colon,noun,OP “zun + dutt” two-dot
kuttdutt,semicolon,noun,OP “kutt + dutt” half-dot
dridutt,ellipses,noun,OP “dri + dutt” three-dot
frigtek,question mark,noun,OP “frig + tek” question symbol
krießtek,exclamation mark,noun,OP “krießa + tek” a mark symbolizing shriek or outcry 
kuttek,comma,noun,OP “kut + tek” cut symbol
drieptek,"dash, hyphen",noun,OP “driep + tek” line/stripe symbol
hektek,apostrophe,noun,OP “hek + tek” high/tall symbol
ebentek,"parenthesis, brackets",noun,OP “eben + tek” explain symbol
naegtek,quotation mark,noun,OP “naeg + tek” speech symbol
oðetek,"slash, the “or” symbol",noun,OP “oðe + tek” ‘or’ symbol
selvmorðor,"suicide, to commit suicide","noun, verb",OP “selv + morðor” to self kill
selvmorðorðe,suicidal ,adjective,OP “selvmorðor (suicide) + -ðe”
lawijen,to betray (someone or something),verb,"OE “læwan”; OHG “firlāwen, gilāwen”; Gothic “lēwjan”"
lawijer,traitor,noun,OP “lawijen + -r” one who betrays
lawija,"betrayal, treason",noun,OP from “lawijen (to betray)”
vlura,"floor; ground, soil",noun,Dutch “vloer”; PG “flōraz”
fumset,"district, area, locality, region",noun,OP “fum + set” a group of places
nyðrafumset,slum,noun,OP “nyðra + fumset” the lower areas
braegin,brain,noun,"OE “bræġn”; Dutch “brein”; Saterland Frisian ‘Brainge”; LG “Brägen, Bregen”;"
hlunge,lung,noun,OE “lungen”; G “Lunge”; N & Danish “lunge”; Swedish & Icelandic “lunga”
lyfruwer,liver,noun,"ME “lyvere, lyver”; OE “lifer”; Dutch “lever”; G “Leber”; Danish, N & Swedish “lever”; ON “lifr”"
nero,kidney,noun,ME “nēre”; OE “nēora”
bloþgang,bloodvessel,noun,OP “bloþ + gang” blood hall/passage
raþbloþgang,"artery, arteriole",noun,OP “raþ + bloþgang” red blood vessel
bloubloþgang,"vein, venule",noun,OP “blou + bloþgang” blue blood vessel
minbloþgang,capillary,noun,OP “min- + bloþgang” small blood vessel
kwieðaz,"womb, uterus",noun,"OE “cwiþ, cwiþa”; PG “kweþuz”"
souðaft,"authentic, genuine, pure; (of pony) virtuous, moral, righteous",adjective,"OP “souðe + -aft”; inspired from Ancient Greek “ᾰ̓ληθῐνός”, ălēthḗs (true) + -ĭnós (made of)"
forscla,"suggestion, to suggest","noun, verb",Danish “forslå”; Dutch “voorstellen”; G “vorschlagen”; N “foreslå/føresla”; Swedish “föreslå”
fraegen,to pray,verb,"OE “frignan, fricgan;” G “gragen”; Dutch “vragen”"
fraegim,prayer,noun,OP “fraegen (to pray) + -im”
bliefum,museum,noun,OP “blief + -fum” place of relics
lekvarger,internal organs,noun,OP “lek + varger” worker of the body
mietu,"opinion, to form an opinion","noun, verb",G “Meinung”; Danish & Dutch “mening”; Finnish “mielipide”; Gothic “mitōns”
klage,"complaint, to complain","noun, verb",Danish “klage”; Dutch “klagen”; G “klagen”; Swedish “klaga”
byegen,"to purchase, to buy",verb,ME “byen”
-byeg,"buyer, purchaser, shopper",noun,OP from “byegen
byegsalen,"to trade, to commerce, to deal",noun,OP “byegen + salen” buy and sell
souraft,"(chemistry) acid, acidity; sourness, sour substance",noun,OP “sour + -aft”; Based from G Säure (sauer “sour” + -e “-ness”)
ßaeteren,"to scatter, to shatter, to disperse",verb,"ME “scateren, skateren, schateren”; OE “sceaterian”; MDutch “scheteren”; LG “schateren”"
sprighden,to spread (out) ,verb,"ME “spreden”; OE “sprǣdan”; Dutch “spreiden”; LG “spreden”; G “spreiten”; N “spre, spreie”"
dohdlekfum,"cemetery, graveyard",noun,OP “dohdlek + fum” corpse place
urzet,vegetable,noun,OS “wurt”; OHG “wurz”; ON “urt”; Gothic “waurts”
waesna,to whisper,verb,"OE “hwisprian”; MDutch “wisperen”, PG “hwisprōną”"
kelksa,chalk; limestone,noun,"OE “ċealc”, Danish & Dutch “kalk”; MDutch “crijt”; G “Kreid”; OHG “krīda”; Swedish “krita”"
oudoz,(animal) otter,noun,"ME “oter, otir, otur, otyre”; OE “otor”; PG “utraz”"
saeswin,(animal) dolphin,noun,OP “sae + swin” sea pig; inspired from OE “mereswīn” literally sea-pig
aepf,"(animal) monkey, ape, chimpanzee, gorilla",noun,OE “apa; OS & Old Dutch “apo”; OHG “affo”; ON “api”
gurafel,(animal) orangutan,noun,OP “gulverath + fel” orange fur
hjottira,(animal) baboon,noun,OP “hjou + plottira” color buttock
