ofundit; OHG 'obunst' ON 'ǫfund'

zysc; swylc, ON slikr, OHU sulih

jedr; OE ægðer, OF eider, OHG eogiwedar

guraovet; OP gulverath (color orange), OP ovet (fruit)

gelku; OF luk, Dutch geluk, WF gelok

baeta; OE beten, OF bēta, Icelandic bæta

oreda; Proto-Indo-European "h₂reh₁-" > Proto-Germanic "raþjǭ" / Proto-Italic "rēōr"

kezath; Proto-Indo-European "sket-" ON skaði

telek; PIE "telkʷ-", Norwegian tale

rijascyft; OP rijan + gescyft

aljoz; PIE "h₂élyos", Proto-Celtic "alyos", Proto-Germanic "aljaz"

wythrafen; wyth-(anti, against) + kraften

heftim; het + gweftin

seasku; OE saeru, Norwegian Nynorsk maskin

bighspyl; OE & OHG bīspel, German beisiel, OP bigh

luvrafen; OP luvji + rafen

spajy; Proto-Germanic "spīwaną" ON spýja, Elfdalian spaja

espigel; Norwegian & Swedish spegel, German & Dutch spiegel, Icelandic spegill

kovargim; OP ko + varg + im

vutalnonaft; OP vut + alnon + -aft

wiekri; OP wiekalen, Scots dree

wiekethe; wieken + -the

mahd; ME madde

navaere; OP na- + vaere

swerthiel; OP swerth + hiel

raeghud raegstal; OP raeg + hud

klaetha; Icelandic klæði

folknavaft; OP folk + navaft

ighber; Anglo-Norman eir, German erbe, Norwegian arving

styl; cannon > stalk, Proto-Germanic stalukaz > staluz, PIE "pleh₂-",

stylk; English stalk, OE stealc, ON stlikr

houfthaft; OP houf + thaft

hok; English hock, ME hokke; cognate with Dutch hak

tharm; OE þearm

ryb; Proto-Germanic "ribją"

elboga; English ell, OE & OP boga

lipa; OE lippa, Proto-West-Germanic "lippjō"

lagbonten; OP lag + bonten
